airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-03-06,Banglore,Delhi,08:00:00,08:15:00,1455,1,no info,17996
Spicejet,2019-06-06,Kolkata,Banglore,22:20:00,00:40:00,140,0,no info,3873
Indigo,2019-03-18,Kolkata,Banglore,05:30:00,08:20:00,170,0,no info,4462
Jet Airways,2019-03-24,Mumbai,Hyderabad,15:50:00,17:20:00,90,0,in-flight meal not included,2228
Spicejet,2019-04-27,Banglore,Delhi,09:30:00,12:20:00,170,0,no info,4991
Multiple Carriers,2019-05-18,Delhi,Cochin,10:20:00,21:00:00,640,1,no info,7670
Multiple Carriers,2019-03-09,Delhi,Cochin,15:05:00,01:35:00,630,1,in-flight meal not included,14086
Indigo,2019-06-12,Delhi,Cochin,02:00:00,07:45:00,345,1,no info,6386
Indigo,2019-06-03,Delhi,Cochin,16:00:00,01:30:00,570,1,no info,6628
Air India,2019-05-18,Delhi,Cochin,14:10:00,17:10:00,180,0,no info,6934
Air India,2019-03-15,Banglore,Delhi,08:50:00,15:15:00,385,1,no info,8714
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,08:15:00,1590,1,no info,13941
Jet Airways,2019-05-21,Delhi,Cochin,17:30:00,19:00:00,1530,1,in-flight meal not included,12898
Air India,2019-04-03,Delhi,Cochin,14:10:00,17:10:00,180,0,no info,4729
Air India,2019-05-27,Mumbai,Hyderabad,13:55:00,15:25:00,90,0,no info,3625
Jet Airways,2019-06-06,Kolkata,Banglore,17:00:00,09:45:00,1005,1,in-flight meal not included,10539
Jet Airways,2019-06-01,Delhi,Cochin,21:50:00,04:25:00,395,1,in-flight meal not included,10262
Spicejet,2019-05-27,Kolkata,Banglore,17:10:00,19:40:00,150,0,no check-in baggage included,3841
Air India,2019-06-27,Delhi,Cochin,14:10:00,17:10:00,180,0,no info,5201
Indigo,2019-05-12,Kolkata,Banglore,15:15:00,20:05:00,290,1,no info,5170
Air Asia,2019-05-01,Kolkata,Banglore,06:50:00,10:30:00,220,1,no info,6857
Indigo,2019-03-03,Banglore,Delhi,07:30:00,12:20:00,290,1,no info,6220
Indigo,2019-06-12,Delhi,Cochin,21:50:00,03:35:00,345,1,no info,5775
Indigo,2019-06-12,Delhi,Cochin,08:35:00,22:30:00,835,1,no info,6442
Air India,2019-06-12,Delhi,Cochin,07:10:00,07:40:00,1470,2,no info,12488
Jet Airways,2019-05-21,Kolkata,Banglore,21:10:00,10:05:00,775,1,in-flight meal not included,8586
Jet Airways,2019-03-06,Banglore,Delhi,07:00:00,19:10:00,730,1,no info,16736
Jet Airways,2019-03-06,Delhi,Cochin,16:00:00,04:25:00,745,1,no info,15764
Jet Airways,2019-05-06,Banglore,Delhi,08:20:00,11:20:00,180,0,in-flight meal not included,4544
Vistara,2019-05-06,Banglore,Delhi,21:00:00,23:50:00,170,0,no info,4668
Jet Airways,2019-06-01,Delhi,Cochin,09:00:00,19:00:00,600,1,no info,14714
Jet Airways,2019-05-12,Banglore,Delhi,08:20:00,11:20:00,180,0,in-flight meal not included,6144
Indigo,2019-03-03,Chennai,Kolkata,05:15:00,07:35:00,140,0,no info,6482
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,12:00:00,975,1,in-flight meal not included,11134
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,18:15:00,1335,1,no info,12681
Indigo,2019-06-01,Delhi,Cochin,07:35:00,22:30:00,895,1,no info,6442
Spicejet,2019-06-03,Banglore,Delhi,09:30:00,12:20:00,170,0,no info,3971
Jet Airways,2019-06-03,Banglore,Delhi,17:45:00,20:45:00,180,0,in-flight meal not included,6478
Jet Airways,2019-06-01,Delhi,Cochin,08:00:00,04:25:00,1225,1,in-flight meal not included,10262
Jet Airways,2019-05-18,Delhi,Cochin,19:10:00,19:00:00,1430,2,no info,15129
Jet Airways,2019-06-09,Delhi,Cochin,09:35:00,04:25:00,1130,2,no info,13292
Indigo,2019-06-21,Banglore,Delhi,19:30:00,22:15:00,165,0,no info,5780
Jet Airways,2019-06-15,Delhi,Cochin,14:35:00,12:35:00,1320,2,in-flight meal not included,10919
Jet Airways,2019-03-06,Banglore,Delhi,22:50:00,05:05:00,375,1,no info,19225
Indigo,2019-05-21,Delhi,Cochin,20:25:00,01:30:00,305,1,no info,5054
Indigo,2019-06-27,Delhi,Cochin,10:35:00,21:00:00,625,1,no info,5894
Jet Airways,2019-03-06,Banglore,Delhi,14:05:00,00:45:00,640,1,in-flight meal not included,13502
Spicejet,2019-03-18,Mumbai,Hyderabad,13:10:00,14:30:00,80,0,no info,2437
Jet Airways,2019-03-06,Banglore,Delhi,08:55:00,09:30:00,1475,1,no info,17261
Jet Airways,2019-05-24,Kolkata,Banglore,08:25:00,18:15:00,590,1,in-flight meal not included,10844
Jet Airways,2019-03-12,Banglore,Delhi,22:55:00,10:45:00,710,1,no info,13817
Air India,2019-06-03,Delhi,Cochin,21:00:00,07:40:00,640,1,no info,8372
Indigo,2019-05-01,Mumbai,Hyderabad,19:05:00,20:35:00,90,0,no info,2754
Jet Airways,2019-03-24,Mumbai,Hyderabad,07:10:00,08:35:00,85,0,in-flight meal not included,2470
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,18:00:00,505,1,no info,13067
Spicejet,2019-05-27,Banglore,Delhi,05:55:00,08:35:00,160,0,no check-in baggage included,3257
Indigo,2019-03-01,Mumbai,Hyderabad,12:00:00,13:25:00,85,0,no info,12475
Spicejet,2019-04-01,Kolkata,Banglore,17:10:00,19:40:00,150,0,no check-in baggage included,3841
Air India,2019-03-18,Mumbai,Hyderabad,19:30:00,20:45:00,75,0,no info,2050
Indigo,2019-06-09,Delhi,Cochin,14:20:00,17:35:00,195,0,no info,5601
Jet Airways,2019-05-27,Delhi,Cochin,10:00:00,19:00:00,540,1,no info,16079
Indigo,2019-05-15,Delhi,Cochin,16:00:00,21:00:00,300,1,no info,6069
Multiple Carriers,2019-06-15,Delhi,Cochin,18:00:00,01:30:00,450,1,no info,7408
Jet Airways,2019-03-01,Banglore,Delhi,05:45:00,20:20:00,875,1,no info,27992
Multiple Carriers,2019-06-12,Delhi,Cochin,11:25:00,19:15:00,470,1,no info,7354
Jet Airways,2019-03-12,Mumbai,Hyderabad,03:00:00,16:35:00,815,1,no info,22294
Jet Airways,2019-05-09,Banglore,Delhi,18:55:00,22:00:00,185,0,no info,7229
Jet Airways,2019-06-01,Delhi,Cochin,09:00:00,04:25:00,1165,1,in-flight meal not included,10262
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,09:45:00,800,1,no info,11467
Multiple Carriers,2019-03-03,Delhi,Cochin,11:30:00,18:50:00,440,1,no info,15135
Multiple Carriers,2019-05-15,Delhi,Cochin,17:00:00,01:30:00,510,1,no info,8073
Indigo,2019-03-27,Delhi,Cochin,16:00:00,21:00:00,300,1,no info,5073
Indigo,2019-05-03,Banglore,Delhi,18:55:00,21:50:00,175,0,no info,4823
Jet Airways,2019-05-27,Delhi,Cochin,08:00:00,04:25:00,1225,1,in-flight meal not included,12898
Multiple Carriers,2019-06-06,Delhi,Cochin,10:35:00,19:00:00,505,1,no info,10877
Multiple Carriers,2019-05-09,Delhi,Cochin,09:00:00,21:00:00,720,1,no info,8073
Indigo,2019-05-01,Kolkata,Banglore,11:30:00,14:05:00,155,0,no info,5644
Jet Airways,2019-05-09,Kolkata,Banglore,16:30:00,22:35:00,365,1,no info,14781
Air India,2019-03-03,Delhi,Cochin,05:55:00,07:40:00,1545,2,no info,15113
Jet Airways,2019-06-12,Delhi,Cochin,19:15:00,12:35:00,1040,1,in-flight meal not included,10262
Multiple Carriers,2019-06-27,Delhi,Cochin,13:00:00,19:15:00,375,1,no info,14848
Air India,2019-05-21,Delhi,Cochin,20:00:00,19:15:00,1395,2,no info,10861
Jet Airways,2019-05-18,Kolkata,Banglore,17:00:00,09:45:00,1005,1,no info,14151
Jet Airways,2019-06-06,Delhi,Cochin,07:05:00,12:35:00,330,1,in-flight meal not included,10262
Air India,2019-06-15,Delhi,Cochin,09:45:00,23:00:00,795,1,no info,8907
Jet Airways,2019-05-21,Delhi,Cochin,05:30:00,19:00:00,810,2,no info,15129
Jet Airways,2019-05-12,Kolkata,Banglore,18:55:00,10:05:00,910,1,in-flight meal not included,9663
Jet Airways,2019-06-03,Delhi,Cochin,07:05:00,19:00:00,715,1,no info,14924
Air India,2019-05-27,Delhi,Cochin,17:40:00,09:35:00,955,1,no info,7258
